sample_num,wg_drymass (mg),feces_drymass (mg),discolored (Y/N),wg_mold (Y/N/1-4),feces_mold (Y/N/1-4),general_notes,wg_notes,feces_notes,"Instructions: start with only the ones that are separately packed wg and feces (that don't say ""both"")"
144,117.23,4.7,N,,,,,,
114 (124?),112.46,envelope says no feces,N,,,,,,
231,141.96,1.82,N,,,,,,
235,109.36,4.43,N,,,,,,
185,127.02,5.72,N,,,,,,
204,119.31,3.61,Y,,,,,,
207,100.46,3.62,Y,,,,,,
206,103.64,13.79,N,,,,,,
255,119.12,5.65,N,,,,,,
246,130.75,0.81,N,,,,,,
265,143.92,2.84,N,,,,,,
240,101.8,7.9,N,,,,,,
269,121.32,6.26,N,,,,,,
183,74.39,26.72,N,,,,,,
209,103.88,9.21,N,,,,,,
247,133.26,0.76,N,,,,,,
138,139.24,1.23,N,,,,,,
249,112.92,6.67,N,,,,,,
128,109.37,1.09,N,,,,,,
136,117.79,2.46,N,,,,,,
113,101.48,0.14,N,,,,,,
88,129.66,4.4,N,,,,,,
262,128.01,5.75,N,,,,,,
48,104.76,8.28,N,,,,,,
64,133.95,2.71,N,,,,,,
12,105.56,10.08,N,,,,,,
57,70.8,20.85,N,,,,,,
253,112.58,3.04,N,,,,,,
59,135.92,2.46,N,,,,,,
86,89.35,14.33,N,,,,,,
21,87.01,14.62,N,,,,,,
221,121.81,2.39,N,,,,,,
309,110.05,13.17,,,,"both, dropped but probably got all wg",,,
407,90.07,16.97,,,,,,,
503,123,0.41,,,,,,,
492,122.81,2.84,,,,,,,
453,107.83,12.91,Y,,,,,,
501,137.33,2.2,,,,,,,
316,103.8,10.3,Y,,,,,,
490,121.28,2.8,,,,,,,
512,122.18,0.51,,,,small red feces mold possibly,,,
374,135.5,0.14,,,,,,,
469,129.3,3.11,,,,,,,
532,102.72,5.99,,,,,,,
653,72.4,17.78,Y,,,,,,
472,123.1,6.17,,,,,,,
443,120.28,2.31,,,,,,,
349,113.57,6.69,,,,,,,
390,85.93,20.91,Y,,,,,,
691,68.87,3.7,Y,,,,,,
423,86.93,17.23,,,,,,,
491,121.55,0.44,,,,,,,
564,114.98,1.07,,,,,,,
504,127.9,0.99,,,,,,,
384,119.97,7.52,Y,,,,,,
612,104.01,6.52,,,,,,,
476,130.04,2.17,,,,,,,
345,122.08,8.57,,,,,,,
546,93.3,10.41,,,,,,,
510,127.4,0.45,,,,,,,
593,120.73,1.91,,,,,,,
607,83.25,11.77,,,,,,,
686,86.48,4.5,Y,,,,,,
596,111.3,0.94,,,,,,,
434,115.79,4.29,,,,,,,
428,97.94,21.02,Y,,,,,,
551,118,1.71,,,,,,,
522,109.33,6.05,,,,,,,
587,75.75,15.86,,,,,,,
350,107.34,9.59,,,,,,,
353,87.58,12.93,,,,,,,
624,99.81,2.92,Y,,,,,,
614,96.27,3.4,,,,,,,
477,113.8,2.82,,,,,,,
487,103.54,0.89,,,,,,,
511,125.32,1.09,Y,,,,,,
315,94.42,10.71,,,,,,,
318,97.1,14.12,Y,,,,,,
442,127.82,2.42,,,,,,,
572,114.43,3.11,Y,,,,,,
425,105.64,13.12,,,,,,,
566,99.77,7.05,,,,,,,
312,106.7,7.04,,,,,,,
398,107.28,10.81,Y,,,,,,
420,115.45,5.63,Y,,,,,,
329,138.51,4.33,,,,,,,
632,56.59,4.7,Y,,,difficult to separate (small amount of grass stuck to bottom,,,
364,128.68,3.84,,,,,,,
541,93.82,2.14,,,,,,,
373,68.71,26.22,Y,,,,,,
543,99.18,1.63,Y,1,,bit of mold on wg (1),,,
396,104.26,10.41,Y,,,,,,
444,119.39,5.8,Y,,,,,,
432,104.99,16.31,Y,,,,,,
665,88.72,2.73,Y,,,,,,
545,112.92,1.8,,,,,,,
387,88.68,8.57,,,,,,,
671,85.01,1.59,,,,,,,
650,90.83,1.82,Y,,,,,,
609,99.8,4.74,,,,,,,
613,103.45,4.84,Y,Y,,little mold,,,
693,42.12,20,Y,,,difficult to separate,,,
640,57.2,7.27,Y,,,difficult to separate (small amount of grass stuck to tub),,,
677,53.88,11.66,Y,,,difficult to separate (small amount of grass stuck to tub),,,
418,118,7.54,Y,Y,,little mold,,,
498,142.42,0.47,,,,,,,
320,101.64,15.22,Y,3,Y,mold on both (3),,,
701,94.83,15.06,,,,,,,
385,110.2,7.61,,,,,,,
437,123.02,1.23,,,,,,,
308,113.72,9.05,,,,,,,
479,118.7,0.84,,,,,,,
634,101.67,8.17,Y,,,,,,
633,95.13,15.26,Y,,,,,,
414,72.74,21.36,Y,4,Y,mold on both (4),,,
439,99,13.81,,,,,,,
415,115.52,3.24,,,,,,,
590,97.74,9.77,,,,,,,
553,114.29,1.68,,,,,,,
562,90.47,8.78,Y,,,,,,
406,123.77,5.13,,,,,,,
500,129.47,0.07,,,,,,,
463,123.04,5.63,Y,,,,,,
610,109.4,3.04,,,,,,,
619,111.32,0.51,,,,,,,
475,121.09,0.63,,2,,tiny/small mold on wg (2),,,
713 bottom,83.79,14.55,Y,,,range since it was hard to separate,,,
713 top,86.69,11.65,Y,,,range since it was hard to separate,,,
451,119.76,0.45,,,,,,,
401,119.8,7.82,,,,,,,
408,91.38,,,,,"Lost feces data, vague memory of it being in the teens",,,
454,108.41,11.04,,,,,,,
267,140.91,0.6,,,,,,,
186,142.15,1.05,,,,very small amounts of feces stuck to paper,,,
179,130.37,7.55,,,,,,,
230,126.07,1.62,,,,,,,
100,106.04,0.64,,,,,,,
403,111.58,12.87,Y,,,,,,
377,109.46,16.34,,,,,,,
27,110.86,6.98,,,,,,,
39,122.1,3.31,,,,,,,
62,118.2,6.14,,,,,,,
65,85.55,16.9,,,,,,,
236,127.83,3.95,,,,,,,
26,121.84,4.8,,,,,,,
210,83.62,1.57,Y,,,,,,
129,127.14,1.46,,,,,,,
20,119.35,5.35,,,,,,,
63,135.33,2.76,,,,,,,
6,123.54,6.06,,,,,,,
1,118.06,16.71,,,,,,,
25,119.99,6.31,,,,,,,
242,134.28,0.74,,,,,,,
73,125.86,4.79,,,,,,,
189,104.84,4.92,,,,,,,
237,113.62,2.26,,,,,,,
225,132.36,1.69,,,,,,,
90,138.83,3.21,,,,,,,
13,121.65,2.71,,,,,,,
394,105.54,9.38,,Y,,tiny mold on wg,,,
654 (?),68.61,11.63,Y,,,,,,
695,64.11,30.25,Y,,,,,,
682,77.77,5.93,Y,,,"very small amount of wg stuck to paper, paper very stained",,,
583,80.08,18.3,,,,,,,
519,95.37,10.19,,,,,,,
706,72.48,22.18,,,,,,,
369,103.7,9.55,,,,,,,
690,54.15,9.78,Y,,,"feces hard to distinguish,  (d-ish)",,,
700,89.14,16.7,,,,,,,
605,102.22,6.81,,,,,,,
615,107.03,8.75,,,,,,,
703,89.68,18.36,,,,,,,
327,140.74,8.85,,,,,,,
606,71.31,26.34,,,,,,,
412,84.52,17.58,,,,,,,
549,105.99,6.69,,,,,,,
586,97.01,12.48,,,,,,,
674,95.35,4.35,Y,,,,,,
594,75.7,26.87,,,,,,,
413,114.93,19.25,,,,,,,
604,89.01,9.86,,,,,,,
419,110.67,13.86,,,,,,,
376,87.17,12.75,,,,,,,
561,101.85,8.09,,,,,,,
457,88.33,22.3,,,,,,,
581,97.46,9.98,,,,,,,
584,96.94,17.31,,,,,,,
635,61.83,6.69,Y,,,"wg very stuck to paper, trace amounts left",,,
603,109.25,6.13,,,,,,,
478,136.54,0,,,,envelope says 'both but no feces found',,,
474,141.28,0,,,,envelope says 'both but no feces found',,,
WG_118,126.13,,,,,,,,
WG_140,116.04,,,,,,,,
WG_115,132.28,,,,,,,,
WG_116,119.16,,,,,,,,
WG_147,110.17,,,,,,,,
WG_126,109.31,,,,,,,,
WG_132,110.49,,,,,,,,
WG_141,108.98,,,,,,,,
WG_125,104.19,,,,,,,,
WG_114,128.2,,,,,,,,
WG_108,116.49,,,,,,,,
WG_137,121.44,,,,,,,,
WG_113,126.96,,,,,,,,
WG_5,119.14,,,,,,,,
WG_6,121.93,,,,,,,,
WG_107,133.72,,,,,,,,
WG_109,119.79,,,,,,,,
WG_29,112.96,,,,,,,,
WG_146,111,,,,,,,,
WG_13,118.79,,,,,,,,
WG_11,121.21,,,,,,,,
WG_3,128.56,,,,,,,,
WG_4,126.36,,,,,,,,
WG_127,113.2,,,,,,,,
WG_133,116.07,,,,,,,,
WG_138,119.43,,,,,,,,
WG_129,112.5,,,,,,,,
WG_131,118.46,,,,,,,,
WG_143,114.68,,,,,,,,
WG_142,112.6,,,,,,,,
WG_100,119.94,,,,,,,,
WG_149,122.4,,,,,,,,
WG_103,119.18,,,,,,,,
WG_124,128.03,,,,,,,,
WG_119,130.11,,,,,,,,
WG_121,124.75,,,,,,,,
WG_101,133.91,,,,,,,,
WG_102,151.58,,,,,,,,
WG_118,126.14,,,,,,,,
WG_145,115.37,,,,,,,,
WG_106,119.68,,,,,,,,
WG_112,143.09,,,,,,,,
WG_105,132.04,,,,,,,,
WG_120,129.57,,,,,,,,
WG_128,113.1,,,,,,,,
WG_144,109.97,,,,,,,,
WG_104,113.11,,,,,,,,
WG_122,117.85,,,,,,,,
WG_136,120.1,,,,,,,,
WG_134,106.81,,,,,,,,
WG_123,125.68,,,,,,,,
WG_8,129.92,,,,,,,,
WG_7,131.13,,,,,,,,
WG_1,127.33,,,,,,,,
WG_135,117.08,,,,,,,,
WG_110,119.87,,,,,,,,
WG_111,135.89,,,,,,,,
WG_130,116.52,,,,,,,,
WG_148,122.85,,,,,,,,
WG_59,129.66,,,,,less,,,
WG_66,134.1,,,,,more,,,
WG_74,138.57,,,,,"more, wg seed still attached",,,
WG_64,132.03,,,,,more,,,
WG_75,127.55,,,,,less,,,
WG_69,124.41,,,,,less,,,
WG_61,132.54,,,,,less,,,
WG_63,135.85,,,,,less,,,
337,114.7,,,,,ctrl A,,,
652,118.36,,,,,ctrl,,,
629,117.51,,,,,ctrl,,,
533,111.85,,,,,ctrl,,,
539,114.48,,,,,ctrl,,,
643,122.45,,,,,ctrl,,,
536,107.08,,,,,ctrl,,,
330,120.13,,,,,ctrl E,,,
334,117.41,,,,,ctrl D,,,
697,107.26,,,,,ctrl,,,
335,114.23,,,,,ctrl F,,,
707,109.8,,,,,ctrl,,,
366,126.88,,,,,ctrl,,,
331,124.6,,,,,ctrl B,,,
535,107.98,,,,,ctrl,,,
332,123.04,,,,,ctrl,,,
537,83.4,,,,,ctrl,,,
534,114.38,,,,,ctrl,,,
333,116.39,,,,,ctrl C,,,
515,135.63,0,,,,envelope says no feces,,,
718,118.93,0.92,,,,,,,
627,96.96,2.91,Y,,,,,,
388,105.25,14.85,,,,,,,
435,127.13,5.76,Y,,,,,,
687,103.76,9.51,,1,,,,,
460,122.16,6.03,Y,Y,,little mold,,,
344,110.4,11.32,Y,Y,,small mold,,,
499,131.33,0.52,,,,,,,
378,119.32,2.44,Y,3,Y,tiny mold on feces,,,
647,89.81,13.53,Y,,,,,,
358,104.4,14.81,Y,,,,,,
441,112.37,8.53,,,,,,,
462,122.82,9.58,,,,,,,
538,105.08,3.67,,,,,,,
339,97.79,5.51,,,,,,,
509,122.23,0.47,Y,,,,,,
683,61.15,3.6,Y,,,more translucent looking wg,,,
359,91.84,18.48,,,,,,,
685,97.09,3.14,,,,,,,
680,43.84,2.32,Y,,,"d, lost some maybe, see pic; some sticking to paper",,,
672,77.17,11.87,Y,,,,,,
679,93.96,6.77,,,,,,,
670,56.72,1.8,Y,,,"d, may have lost a little to tub, more translucent",,,
667,90.98,3.09,Y,3,Y,,,,
540,95.39,4.94,,,,,,,
563,116.73,6.22,,,,,,,
660,69.16,11.85,Y,,,,,,
455,118.54,1.1,,,,,,,
639,95.94,6.77,Y,,,,,,
438,109.28,11.26,Y,,,,,,
379,103.32,12.52,Y,Y,,"d, small mold",,,
616,83.09,1.44,Y,,,,,,
447,118.5,2.69,,,,,,,
577,100.53,6.57,,,,,,,
468,124.8,0.44,,,,,,,
719,118.01,1.51,,,,,,,
386,110.44,6.66,,,,,,,
430,108.8,13.88,,,,,,,
427,134.4,8.63,Y,,,,,,
328,138.6,3.4,,,,,,,
560,112.58,2.23,,,,,,,
429,117.07,8.05,,,,,,,
473,114.82,2.44,,,,,,,
422,82.13,17.76,,,,,,,
380,123.39,7.34,Y,,,,,,
440,112.62,10.78,Y,,,,,,
484,110.93,1.05,,,,,,,
416,118.68,10.21,Y,,,,,,
467,129.03,0.31,,,,,,,
620,86.86,5.96,Y,,,"somewhat thin / translucent, I think this is 620 but it got uncoupled and was with 502 and 626 (when doing the separating out)",,,
645,85.6,2.6,Y,,,,,,
568,84.49,9.6,,,,,,,
372,111.24,4.68,,,,,,,
694,69.7,29.52,,,,,,,
602,84.19,9.06,,,,,,,
371,106.76,7.49,,,,,,,
450,122.02,2.75,,,,,,,
518,133.34,1.18,,,,,,,
363,96.3,18.34,,,,,,,
681,87.36,8.85,Y,,,,,,
485,106.77,2.37,,,,,,,
283,109.26,10.2,Y,,,,,,
661,46.59,10.36,Y,,,"d, pretty translucent wg, data may be bad quality",,,
689,74,15.15,Y,,,,,,
313,67.6,26.43,,,,,,,
585,110.89,7.02,Y,3,,"d, mold on wg (3), don't think I did but may have knocked some feces out",,,
417,123.57,10.57,Y,Y,,"d, little mold",,,
608,101.29,5.32,,,,,,,
301,119.74,6.06,,,,,,,
393,105.17,6.72,Y,,,little mold,,,
495,112.83,2.96,,2,,,,,
375,106.99,8.12,,,,,,,
497,108.36,0.21,,,Y,small bit of feces mold,,,
459,119.21,8.46,,,,,,,
314,105.34,5.12,,,,,,,
281,109.2,4.93,,,,,,,
664,68.53,7.58,Y,,,transparent / possibly inaccurate,,,
458,83.47,22.98,Y,,,,,,
663,51.16,5.16,Y,,,"small amount stuck at the bottom of tub, transparenct / possibly inaccurate",,,
397,93.61,16.59,Y,,,,,,
611,112.08,5.75,,,,,,,
714,97.07,2.03,Y,,,,,,
446,116.2,0.58,,,,,,,
433,136.61,3.22,,,,,,,
554,117.79,2.4,,,,,,,
361,106.57,12.1,Y,3,Y,,,,
636,69.7,6.11,Y,,,somewhat transparent / possibly inaccurate,,,
461,118.29,9.05,Y,,,,,,
646,93.67,3.43,Y,,,,,,
513,128.2,0.51,,,,,,,
601,88.95,12.79,,,,,,,
489,123.38,0,,,,didn't find any feces,,,
405,121.76,6.29,Y,,Y,a little tiny bit of red,,,
360,116.76,7.07,,,,,,,
304,116.85,7.38,,,,,,,
717,117.38,0.63,,,,,,,
307,117.1,7.93,,,,,,,
357,116.32,3.82,,,,,,,
712,81.91,8.91,Y,,,borderline transparent,,,
unlabelled #2,2.36,13.82,,2,2,"9/29, may not be temp trial",,,
527,103.27,1.89,,,,,,,
625,74.75,5.41,Y,,,"lost little in tub, possibly too transparent",,,
708,92.54,20.76,,,,potentially 21.62 feces mass (one bit had fallen out I think),,,
411,78.49,28.82,Y,Y,,little mold,,,
698,97.06,0.97,,,,,,,
481,111.99,1.15,,,,,,,
666,75.59,2.89,Y,,,may be too transparent,,,
591,106.94,4.68,Y,,,,,,
715,78.43,11.49,Y,,,borderline transparent,,,
618,56.9,1.2,,,,likely too transparent... inaccurate,,,
494,122.14,0.37,,,,,,,
524,76.94,10.97,,,,,,,
529,99.86,5,,,,,,,
630,44.48,13.36,Y,,,"transparent, may have lost some to tub",,,
580,94.2,8.06,Y,,,,,,
555,119.85,1.03,,,,,,,
659,49.97,0.41,Y,,,"lost some in tub, transparent",,,
578,97.39,6.16,Y,,,,,,
648,58.97,4.13,Y,,,"maybe lost a little, transparent, spilled and then picked up feces",,,
638,57.42,2.56,Y,,,looks iffy / transparent,,,
257,119.32,,,,,"ctrl J, 23C",,,
10,104,,,,,"ctrl A, 40C, a little more discolored",,,
243,115.24,,,,,"ctrl I, 23C",,,
167,92.83,,,,,"ctrl E, 37C",,,
161,100.12,,,,,"ctrl C, 16",,,
218,89.54,,,,,"ctrl H, 43C",,,
258,109.23,,,,,"ctrl K, 30c",,,
66,104.87,,,,,"ctrl B, 40C",,,
228,88.44,,,,,"ctrl G, 43C, seems moldy / not great",,,
176,89.41,,,,,"ctrl D, 16C",,,
158,110.1,,,,,"ctrl F, 37C",,,
268,112.84,,,,,"ctrl L, 30C, 1 tiny shred of grass omitted due to mold",,,
140,112.42,,,,,no feces,,,
120,116.37,,,,,no feces,,,
104,106.21,,,,,no feces,,,
122,119.87,,,,,no feces,,,
119,114.72,,,,,no feces,,,
109,112.19,,,,,no feces,,,
336,125.42,,,,,ctrl,,,
338,124.52,,,,,ctrl,,,
508,121.52,0.65,,,,,,,
579,116.73,4.32,,,,,,,
582,82.31,11.35,,,,,,,
548,87.05,10.98,,,,,,,
699,69.38,28.55,,,,,,,
520,88.48,6.74,,,,,,,
341,127.9,,,,,ctrl,,,
367,131.37,,,,,ctrl,,,
493,116.32,4.22,,,,,,,
649,54.47,14.04,Y,,,tough to separate,,,
528,102.42,3.59,,,,,,,
542,84.12,11.27,,,,,,,
575,96.38?,6.01,,,,,,,
710,62.88,19.3,Y,,,tough to separate,,,
362,106.67,8.95,,,,,,,
557,100.31,8.02,,,,egg (didn't weigh),,,
WG_2,127.14,,,,,,,,
WG_9,133.83,,,,,,,,
WG_10,129.72,,,,,,,,
