Order,wg_ID,test_date,wet_weigh_date,wet_mass,plot_ID,plot_purchase_date,,
,247,,,1.033,H,,,
,248,,,1.0312,H,,,
,249,,,0.9928,H,,,
,250,,,1.0115,H,,,
,251,,,1.0159,H,,,
,252,,,1.0257,H,,,
,253,,,1.0107,H,,,
,254,,,1.0127,H,?,,
,255,,,1.0125,H,,,
,WG_57,,,0.9897,H,,,
,256,,,1.0232,H,,,
,257,,,1.0134,H,,,
,258,,,1.0336,H,,ctrlK,30
,259,,,0.9922,I,,,
,260,,,1.0374,I,,,
,261,,,1.02,I,,,
,262,,,0.9963,I,,,
,263,,,1.027,I,,,
,264,,,1.0139,I,,,
,265,,,1.0312,I,,,
,266,,,1.0358,I,,,
,267,,,1.0183,I,,,
,268,,,1.0114,I,,ctrlL,30
,,,,1.0098,I,,,
,WG_58,,,0.9942,I,,,
,WG_59,,,0.9997,H,,,
,WG_60,,,1.0229,I,,,
,WG_61,,,1.0008,H,,,
,WG_62,,,0.9814,I,,,
,WG_63,,,1.0194,H,,,
,WG_64,,,1.0155,I,,,
,WG_65,,,1.0021,H,,,
,WG_66,,,0.9992,I,,,
,WG_67,,,0.9818,H,,,
,WG_68,,,0.9884,I,,,
,WG_69,,,0.9927,H,,,
,WG_70,,,0.9853,I,,,
,WG_71,,,1.0149,H,,,
,WG_72,,,1.0183,I,,,
,WG_73,,,0.9991,H,,,
,WG_74,,,1.0376,I,,,
,WG_75,,,0.982,H,,,
