Order,wg_ID,test_date,wet_weigh_date,wet_mass,plot_ID,plot_purchase_date,,,,,old_plot_ID
,598,,,1.0219,P,,,,,,
,WG_135,,,0.9932,P,,,,,,
,599,,,1.0091,P,,,,,,75/25 old and new
,600,,,1.0221,Q,,,,,,new
,601,,,1.0021,Q,,,,,,
,602,,,1.0192,Q,,,,,,
,603,,,1.0258,Q,,,,,,
,604,,,0.9898,Q,,,,,,
,605,,,0.9995,Q,,,,,,
,606,,,1.0065,Q,,,,,,
,607,,,1.0007,Q,,,,,,
,608,,,1.0282,Q,,,,,,
,609,,,1.0068,Q,,,,,,
,610,,,1.0227,Q,,,,,,
,611,,,1.0152,Q,.98-1.04,,,,,
,612,,,1.0237,Q,,,,,,
,613,,,1.0079,Q,,,,,,
,614,,,0.9836,Q,,,,,,
,615,,,1.0312,Q,,,,,,
,WG_136,,,1.0107,Q,,,,,,
,WG_137,,,1.0216,Q,,,,,,
,616,,,1.0256,Q,,,,,,
,617,,,1.0269,Q,,,,,,
,618,,,1.019,Q,,,,,,
,619,,,1.0112,Q,,,,,,
,620,,,1.0136,Q,,,,,,
,621,,,0.9862,Q,,,,,,
,622,,,1.0041,Q,,,,,,
,623,,,0.9977,Q,,,,,,
,WG_138,,,0.9905,Q,,,,,,
,624,,,0.9836,Q,,,,,,
,625,,,0.9913,Q,,,,,,
,626,,,0.988,Q,,,,,,
,627,,,1.0027,Q,,,,,,
,628,,,1.0279,Q,,,,,,
,629,,,1.0207,Q,,,,,,
,630,,,1.0043,Q,,,,,,
,WG_139,,,1.0172,Q,,,,,,
,631,,,1.0043,Q,,,,,,
,632,,,1.0307,Q,,,,,,
,633,,,1.0117,Q,,,,,,
,634,,,0.9984,Q,,,,,,
,635,,,0.9922,Q,,,,,,
,636,,,0.984,Q,,,,,,
,637,,,1.0009,Q,,,,,,
,638,,,1.0282,Q,,,,,,
,639,,,1.0341,Q,,,,,,
,640,,,1.0342,Q,,,,,,
,641,,,1.0031,Q,,,,,,75/25 old/new
,WG_140,,,0.9945,R,,,,,,
,642,,,0.9831,R,,,,,,
,643,,,1.0276,R,,,,,,
,644,,,1.0314,R,,,,,,
,645,,,1.0031,R,,,,,,
,646,,,1.0266,R,,,,,,
,647,,,1.009,R,,,,,,
,648,,,1.0286,R,,,,,,
,649,,,1.0158,R,,,,,,
,650,,,0.9903,R,,,,,,
,WG_141,,,0.9876,R,,,,,,
,651,,,0.9912,R,,,,,,
,652,,,1.0172,R,,,,,,
,653,,,1.0077,R,,,,,,
,654,,,1.0291,R,,,,,,
,655,,,1.0227,R,,,,,,
,656,,,1.0279,R,,,,,,
,657,,,1.0109,R,,,,,,
,658,,,1.005,R,,,,,,
,WG_142,,,1.0116,R,,,,,,
,659,,,1.0135,R,,,,,,
,660,,,1.0197,R,,,,,,
,661,,,1.0197,R,,,,,,
,662,,,1.0038,R,,,,,,
,663,,,0.9974,R,,,,,,
,664,,,1.0233,R,,,,,,
,665,,,1.0325,R,,,,,,
,666,,,1.0198,R,,,,,,
,WG_143,,,0.9904,R,,,,,,
,667,,,0.9954,R,,,,,,
,668,,,1.0167,R,,,,,,
,669,,,0.9953,R,,,,,,
,670,,,0.9832,R,,,,,,
,671,,,1.0216,R,,,,,,
,WG_144,,,1.0181,R,,,,,,
,672,,,0.9916,R,,,,,,
,673,,,1.0054,R,,,,,,
,674,,,0.9916,R,,,,,,
,675,,,1.0148,R,,,,,,
,676,,,0.9977,R,,,,,,
,677,,,1.0134,R,,,,,,
,678,,,0.9809,R,,,,,,
,679,,,1.0056,R,,,,,,
,680,,,0.9819,R,,,,,,
,681,,,0.9951,R,,,,,,
,682,,,0.9817,R,,,,,,
,683,,,0.9952,R,,,,,,
,684,,,1.0317,R,,,,,,
,WG_145,,,1.0077,R,,,,,,
,685,,,1.0157,R,,,,,,
,686,,,1.0044,R,,,,,,
,687,,,1.0086,R,,,,,,
,688,,,1.0195,R,,,,,,
,689,,,1.0249,R,,,,,,
,690,,,1.0144,R,,,,,,
,691,,,1.0157,R,,,,,,
,692,,,1.0257,R,,,,,,
,693,,,1.0007,R,,,,,,
,WG_146,,,0.9934,R,,,,,,
,694,,,1.001,R,,,,,,
,695,,,1.0066,R,,,,,,
,696,,,1.0367,R,,,,,,
,697,,,0.993,R,,,,,,
,698,,,0.9899,R,,,,,,
,699,,,1.0162,R,,,,,,
,700,,,1.0028,R,,,,,,
,701,,,1.0063,R,,,,,,
,WG_147,,,1.0232,R,,,,,,
,702,,,1.0033,R,,,,,,
,703,,,0.9821,R,,,,,,
,704,,,1.0256,R,,,,,,
,705,,,1.0012,R,,,,,,
,706,,,1.0186,R,,,,,,
,707,,,0.9968,R,,,,,,
,708,,,1.0227,R,,,,,,
,709,,,1.0215,R,,,,,,
,710,,,1.0112,R,,,,,,
,WG_148,,,1.0431,R,,,,,,
,711,,,1.0136,R,,,,,,
,712,,,1.0037,R,,,,,,
,713,,,1.0113,R,,,,,,
,714,,,1.0222,R,,,,,,
,715,,,1.0093,R,,,,,,
,716,,,0.9935,R,,,,,,
,717,,,1.0252,R,,,,,,
,718,,,1.0059,R,,,,,,
,WG_149,,,1.0274,R,,,,,,
,719,,,1.0195,R,,,,,,
